Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,87,8769952,876995200.000000000000000,12,99,87,57.642489377364896,20.166104072744073,505521865.000000000000000,32,43,50,57
,88,8833674,883367400.000000000000000,12,99,87,53.764140265986725,26.476806710003075,474934888.000000000000000,26,44,29,57
,89,8997495,899749500.000000000000000,12,99,87,36.906211228792017,24.280737954172068,332063451.000000000000000,31,14,80,29
,90,8990717,899071700.000000000000000,0,99,99,49.311930961679700,28.806346822774916,443349616.000000000000000,30,14,21,43
,91,8966906,896690600.000000000000000,0,99,99,63.798721766459913,20.597882762236061,572077141.000000000000000,37,43,50,69
,92,8959714,895971400.000000000000000,0,99,99,77.832060376034320,23.433620384247529,697353001.000000000000000,32,99,42,84
,93,8975629,897562900.000000000000000,0,99,99,58.937335422397695,19.066682371307540,528999657.000000000000000,36,43,39,44
,94,5859897,585989700.000000000000000,14,99,85,55.775311409057188,17.199748152498895,326837580.000000000000000,29,43,83,43
,99,4165116,416511600.000000000000000,0,99,99,49.821847938928954,18.770666994604742,207513776.000000000000000,25,43,0,43
,100,8975004,897500400.000000000000000,12,99,87,44.856872821449436,14.133216488377393,402590613.000000000000000,22,43,14,43
,101,8951485,895148500.000000000000000,12,99,87,41.194212356944128,19.454458730215176,368749374.000000000000000,28,43,45,43
,102,8927565,892756500.000000000000000,12,99,87,43.624126623553003,26.461581021913720,389457226.000000000000000,30,12,68,44
,103,8963139,896313900.000000000000000,12,99,87,65.749583265416277,25.234411299826935,589322654.000000000000000,30,87,83,75
,104,8859549,885954900.000000000000000,12,99,87,53.049183767706459,28.857468152842820,469991843.000000000000000,24,14,35,57
,105,8999478,899947800.000000000000000,0,99,99,51.556303265589406,25.554151605061200,463979817.000000000000000,21,14,40,49
,106,8996434,899643400.000000000000000,14,99,85,34.898618941682891,21.253456229536379,313963122.000000000000000,26,29,79,29
,107,8990932,899093200.000000000000000,0,99,99,65.842084891755377,24.742340293058760,591981708.000000000000000,38,43,52,69
,108,8946532,894653200.000000000000000,0,99,99,62.448405370930324,21.753009069456663,558696657.000000000000000,30,43,59,54
,109,8935997,893599700.000000000000000,0,99,99,56.641697954912026,16.691984777019627,506150043.000000000000000,31,43,96,44
,110,8655327,865532700.000000000000000,14,99,85,56.922426732115376,17.978396541480837,492682217.000000000000000,30,43,32,43
,111,596898,59689800.000000000000000,14,99,85,60.516016136760385,17.847028761533874,36121889.000000000000000,21,69,42,69
,113,668129,66812900.000000000000000,14,99,85,52.922931050740203,27.503759368545904,35359345.000000000000000,13,43,40,43
,114,5018493,501849300.000000000000000,14,99,85,50.976107967072984,19.433453236490656,255823241.000000000000000,18,43,66,43
,115,8843314,884331400.000000000000000,12,99,87,47.891474169072815,17.082603713173970,423519344.000000000000000,26,43,15,43
,116,8948547,894854700.000000000000000,12,99,87,41.275373309208746,17.269002617243938,369354618.000000000000000,34,43,31,43
,117,8939634,893963400.000000000000000,12,99,87,40.388537047489862,19.523163357514346,361058739.000000000000000,34,43,91,43
,118,8981063,898106300.000000000000000,12,99,87,59.375825556507067,18.549813734594686,533258030.000000000000000,32,53,35,65
,119,8991650,899165000.000000000000000,12,99,87,67.213240395255596,13.166227157769718,604357933.000000000000000,22,53,52,68
,120,8962234,896223400.000000000000000,0,99,99,69.212239827703669,14.959122345164390,620296289.000000000000000,25,68,0,68
,121,8880183,888018300.000000000000000,0,99,99,58.950584689527233,24.501578476493258,523491980.000000000000000,29,68,89,68
,122,8970840,897084000.000000000000000,14,99,85,46.673436935671575,18.638272913375118,418699935.000000000000000,22,43,20,43
,123,8989904,898990400.000000000000000,0,99,99,57.044627840297295,22.835232872102349,512825728.000000000000000,29,43,46,50
,124,8994756,899475600.000000000000000,0,99,99,63.420453206290418,18.686638547143062,570451502.000000000000000,29,43,52,66
,125,8554503,855450300.000000000000000,0,99,99,59.193695881572545,21.303667245288096,506372649.000000000000000,31,43,83,44
,126,8893329,889332900.000000000000000,14,99,85,54.107542855999142,18.546580574856623,481196180.000000000000000,29,43,96,43
,127,1631673,163167300.000000000000000,21,99,78,55.610748599750075,18.784992637989959,90738557.000000000000000,24,43,21,43
,129,6592730,659273000.000000000000000,12,99,87,47.026126961061657,12.318924718924588,310030558.000000000000000,30,43,40,44
