Rowid_,GRID_ID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,105,9000000,900000000.028183221817017,960,1244,284,1061.090602888888952,37.452645644643091,9549815426.000000000000000,285,1055,1243,1055
,106,9000000,900000000.028183221817017,789,1320,531,1020.060806333333289,123.287598715951148,9180547257.000000000000000,532,890,1315,1014
,107,9000000,900000000.028183221817017,746,1030,284,791.522329222222197,41.318593636188574,7123700963.000000000000000,284,747,746,780
,108,9000000,900000000.028183221817017,674,1013,339,794.295704888888849,46.674905003257919,7148661344.000000000000000,340,747,1013,788
,109,9000000,900000000.028183221817017,569,1025,456,812.237571777777816,88.973308840881231,7310138146.000000000000000,457,860,573,827
,110,9000000,900000000.028183221817017,579,994,415,752.265806333333330,97.746456785989878,6770392257.000000000000000,416,581,579,752
,111,5398607,539860700.016905546188354,577,710,133,582.072947891928379,15.422033532938961,3142383091.000000000000000,134,577,710,577
,113,5113108,511310800.016011595726013,650,1187,537,932.075876551013607,140.363489059991281,4765804621.000000000000000,538,667,1187,980
,114,8873948,887394800.027788519859314,661,1226,565,949.969036217025405,175.388371709617303,8429975829.000000000000000,566,667,661,1022
,115,9000000,900000000.028183221817017,645,1331,686,921.344373111111167,167.471499777803785,8292099358.000000000000000,676,667,645,893
,116,9000000,900000000.028183221817017,745,1368,623,981.450455777777734,110.607585890305131,8833054102.000000000000000,624,900,1368,967
,117,9000000,900000000.028183221817017,829,1403,574,1053.908522666666613,82.582233669824944,9485176704.000000000000000,575,1040,1403,1047
,118,9000000,900000000.028183221817017,786,1402,616,1017.483538888888916,74.604712580735296,9157351850.000000000000000,606,960,1375,1012
,119,9000000,900000000.028183221817017,908,1364,456,1097.775430333333361,90.638565693750920,9879978873.000000000000000,457,1010,908,1083
,120,9000000,900000000.028183221817017,962,1479,517,1125.078200111111073,68.943159444480528,10125703801.000000000000000,506,1020,1457,1133
,121,9000000,900000000.028183221817017,1008,1253,245,1105.063051999999971,37.668225752405718,9945567468.000000000000000,246,1090,1252,1107
,122,9000000,900000000.028183221817017,838,1301,463,1076.001380222222224,90.996098893704385,9684012422.000000000000000,464,1150,838,1091
,123,9000000,900000000.028183221817017,748,1101,353,847.270066111111078,46.678202047709512,7625430595.000000000000000,354,850,748,848
,124,9000000,900000000.028183221817017,644,948,304,800.371907999999962,34.738803452745039,7203347172.000000000000000,225,765,690,790
,125,9000000,900000000.028183221817017,550,945,395,693.345210999999949,88.592364484938386,6240106899.000000000000000,396,580,558,690
,126,9000000,900000000.028183221817017,579,1014,435,767.270660777777834,72.302955962080091,6905435947.000000000000000,434,580,982,772
,127,6447583,644758300.020190477371216,577,779,202,603.423684192975884,47.612123526521387,3890624288.000000000000000,203,577,779,579
,129,9000000,900000000.028183221817017,656,1246,590,946.742456666666612,135.589006949876875,8520682110.000000000000000,591,675,1246,957
,130,9000000,900000000.028183221817017,699,1288,589,1086.163613888888904,95.342336361286925,9775472525.000000000000000,590,1162,1288,1099
,131,9000000,900000000.028183221817017,684,1247,563,879.938953666666634,94.378625687003364,7919450583.000000000000000,561,899,688,874
,132,9000000,900000000.028183221817017,728,1247,519,922.779819777777789,74.652459843395008,8305018378.000000000000000,520,899,728,919
,133,9000000,900000000.028183221817017,809,1227,418,1004.971422444444443,59.875284925241949,9044742802.000000000000000,419,980,1222,1000
,134,9000000,900000000.028183221817017,939,1449,510,1115.320238555555534,67.926176664578861,10037882147.000000000000000,509,1030,1423,1115
,135,9000000,900000000.028183221817017,1070,1413,343,1288.253490999999940,49.689547214922825,11594281419.000000000000000,344,1270,1076,1289
