"Grid_30km","Both","North","South","Sprop","Nprop","NBprop","SBprop","Bprop"
127,59,305,2,0.0327868852459016,0.993485342019544,0.993485342019544,0.0327868852459016,0.16120218579235
129,409,14,991,0.707857142857143,0.0139303482587065,0.0139303482587065,0.707857142857143,0.289250353606789
130,1806,120,363,0.167358229598893,0.248447204968944,0.248447204968944,0.167358229598893,0.788990825688073
131,628,229,1126,0.641961231470924,0.1690036900369,0.1690036900369,0.641961231470924,0.316691880988401
132,255,124,1267,0.83245729303548,0.0891445003594536,0.0891445003594536,0.83245729303548,0.154921020656136
133,669,736,633,0.486175115207373,0.537618699780862,0.537618699780862,0.486175115207373,0.328263002944063
134,893,1187,167,0.157547169811321,0.876661742983752,0.876661742983752,0.157547169811321,0.397418780596351
135,1047,1351,83,0.0734513274336283,0.942119944211994,0.942119944211994,0.0734513274336283,0.422007255139057
136,810,1468,35,0.0414201183431953,0.976713240186294,0.976713240186294,0.0414201183431953,0.350194552529183
137,554,1608,96,0.147692307692308,0.943661971830986,0.943661971830986,0.147692307692308,0.245349867139061
138,796,1388,50,0.0591016548463357,0.965229485396384,0.965229485396384,0.0591016548463357,0.356311548791406
139,827,1338,50,0.0570125427594071,0.963976945244957,0.963976945244957,0.0570125427594071,0.373363431151242
140,563,1240,176,0.238159675236807,0.875706214689266,0.875706214689266,0.238159675236807,0.284487114704396
141,477,1492,31,0.0610236220472441,0.979645436638214,0.979645436638214,0.0610236220472441,0.2385
142,191,505,39,0.169565217391304,0.928308823529412,0.928308823529412,0.169565217391304,0.259863945578231
143,190,800,9,0.0452261306532663,0.988875154511743,0.988875154511743,0.0452261306532663,0.19019019019019
145,121,11,859,0.876530612244898,0.0126436781609195,0.0126436781609195,0.876530612244898,0.122098890010091
146,1190,280,552,0.316877152698048,0.336538461538462,0.336538461538462,0.316877152698048,0.588526211671612
147,719,310,902,0.556446637877853,0.255775577557756,0.255775577557756,0.556446637877853,0.372345934748835
148,513,270,895,0.635653409090909,0.231759656652361,0.231759656652361,0.635653409090909,0.305721096543504
149,857,1269,146,0.145563310069791,0.896819787985866,0.896819787985866,0.145563310069791,0.377200704225352
150,495,1826,29,0.0553435114503817,0.984366576819407,0.984366576819407,0.0553435114503817,0.21063829787234
